model,impute_strategy,fit_time_mean,score_time_mean,test_f1_mean,test_f1_min,test_f1_max,test_f1_std,train_f1_mean,train_f1_min,train_f1_max,train_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_min,train_balanced_accuracy_max,train_balanced_accuracy_std,test_roc_auc_mean,test_roc_auc_min,test_roc_auc_max,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_min,train_roc_auc_max,train_roc_auc_std,test_accuracy_mean,test_accuracy_min,test_accuracy_max,test_accuracy_std,train_accuracy_mean,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_recall_mean,test_recall_min,test_recall_max,test_recall_std,train_recall_mean,train_recall_min,train_recall_max,train_recall_std,test_precision_mean,test_precision_min,test_precision_max,test_precision_std,train_precision_mean,train_precision_min,train_precision_max,train_precision_std,fit_time_min,fit_time_max,fit_time_std,score_time_min,score_time_max,score_time_std,num_rows_dropped
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=7742,
              reg_alpha=None, reg_lambda=None, ...)",knn20,82.19031555652619,15.884305739402771,0.6239280493419417,0.60431654676259,0.6802721088435373,0.02096884324496021,0.9821758203345372,0.9782870928829915,0.9868421052631577,0.0029426957962545683,0.734919617648353,0.7204757190436405,0.7651505613862406,0.012222470270977384,0.982523448830085,0.9787485242030697,0.9872857083046036,0.002886832425328278,0.9548217457706688,0.944550948233436,0.9614443942263134,0.004548789708616835,0.999979382156343,0.9999432226349064,0.999991417939199,1.4516242620212078e-05,0.972634692336716,0.9715894548246736,0.9759344598054276,0.0012022730696099955,0.9983133092292238,0.9979520436897347,0.9987484711437267,0.00027401939550614527,0.4718563548350783,0.44148936170212766,0.5319148936170213,0.024660617548179033,0.9650498859460896,0.9574970484061394,0.9746012994683992,0.005778599324066889,0.9231495490742434,0.883495145631068,0.9764705882352941,0.02628717573973509,0.9999394306480921,0.9993943064809206,1.0,0.00018170805572380598,74.98430299758911,87.55562424659729,3.8762446592699185,12.935208320617676,18.6702663898468,2.193272718967363,0
"LGBMClassifier(n_jobs=10, random_state=7742)",knn40,77.9018224477768,16.793790912628175,0.6199237992658048,0.5661764705882353,0.6666666666666666,0.02910634193086472,0.8520537982015484,0.8451854372235454,0.8576248313090419,0.00377070730277535,0.7299719993976035,0.7038458677165715,0.7571718379819853,0.015372698142593129,0.871476847433796,0.8665431332082605,0.8753691671588896,0.002808290754978424,0.9592755442245983,0.9509716960617125,0.9655299692124569,0.0050876993998083785,0.9986762794882239,0.9985406792151625,0.9989822706567338,0.0001227215039455425,0.9728138907007274,0.9697900665642601,0.9751664106502816,0.001625535378145406,0.9875702558865982,0.9870584219807725,0.9879967005148335,0.00027980965813869405,0.4612349431498367,0.4095744680851064,0.5159574468085106,0.030674595881315055,0.7430044959068209,0.7331759149940968,0.7507383343177791,0.005610767452204811,0.9475785421052784,0.9166666666666666,0.9882352941176471,0.019611721008841326,0.9986510694142317,0.996852871754524,1.0,0.001064228331557984,71.83635902404785,84.70674586296082,4.214364617234152,15.181250810623169,18.87899875640869,1.244328170883851,0
"LGBMClassifier(n_jobs=10, random_state=7742)",knn30,78.41665124893188,17.18955202102661,0.6192983099934912,0.5427509293680297,0.6596491228070175,0.03333130781345983,0.8475744874801105,0.8385327391155297,0.8566610455311973,0.005084577728597655,0.7294782309106944,0.6921803267957114,0.749596557288865,0.016876893100051887,0.868055481252296,0.8609799291617474,0.8748374788773698,0.003857797927752744,0.9576524830652626,0.9524309569317753,0.9641683103221563,0.004784848699543888,0.9985363119344652,0.9981284756905234,0.9989471319652463,0.00023711175914410126,0.9728139103590113,0.9685180445354492,0.9751664106502816,0.0018758626267928338,0.9872459998590056,0.9866029524703473,0.9879117128391831,0.0003683070072535323,0.46019362827873467,0.3862433862433862,0.5,0.03358344562054287,0.7361557869719821,0.7219598583234947,0.7497048406139315,0.007721363069410596,0.9492978436597023,0.9125,0.9882352941176471,0.022399844882070724,0.9988007128964502,0.9968,1.0,0.0008200087455725113,73.77944135665894,85.17649626731873,3.1637702972310704,14.99592137336731,19.16718626022339,1.3378408270451816,0
"LGBMClassifier(n_jobs=10, random_state=7742)",knn20,78.73602607250214,16.51137979030609,0.5922257291890682,0.5223880597014925,0.6341463414634145,0.029446810981460663,0.8383535269408136,0.8352779684282774,0.8418175606422958,0.0019340899387702802,0.7162990252194064,0.6839748570517801,0.7409454293660513,0.014581144220022985,0.8612850005160935,0.8591641485565485,0.8636214222067677,0.00139073032839171,0.9549775007315994,0.9442920009613954,0.9625844241228856,0.005260173934066168,0.9982960003201015,0.9976763166310143,0.998719852887425,0.00030210515288959264,0.971252380782009,0.9672382902482723,0.9731182795698925,0.0016458644508940729,0.9865747383969088,0.9863473462654303,0.9868308777518631,0.00014272299476712698,0.4341579421366655,0.37037037037037035,0.48404255319148937,0.029040157012824835,0.7226357436796141,0.718417945690673,0.7272727272727273,0.0027786316243247383,0.9337220326638407,0.8860759493670886,0.9770114942528736,0.025439865212546087,0.998206783525481,0.9959415584415584,1.0,0.0010794825701034951,72.28358888626099,86.15200114250183,4.174803399359123,14.183481454849243,17.63513994216919,0.9733343498152754,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=7742,
              reg_alpha=None, reg_lambda=None, ...)",knn5,81.41326024532319,15.843850898742676,0.5593517501421358,0.5168539325842696,0.6035087719298246,0.02115114030418343,0.9776568890853221,0.9733333333333333,0.984716811507342,0.003303077306398638,0.7027858006690442,0.6813293544062775,0.7272441143144908,0.012111179272753849,0.9781554334083464,0.974025974025974,0.9849468713105076,0.003169408783347717,0.9463244310766836,0.9258194751238943,0.957419633509351,0.009153270883072261,0.99996261848,0.9998877760078307,0.99999499012278,3.0082803424019114e-05,0.9690764380919357,0.966982339390837,0.9710701484895033,0.0009951141660376607,0.9978951916117206,0.9974970134819956,0.9985494055407019,0.0003052855895269991,0.4080997410784645,0.36507936507936506,0.4574468085106383,0.024685199158979113,0.956310866816693,0.948051948051948,0.9698937426210154,0.006338817566695472,0.8925109362453302,0.8478260869565217,0.9367088607594937,0.02714584769745503,1.0,1.0,1.0,0.0,76.3322217464447,86.04373383522034,3.012703659600026,13.291678190231323,17.785735845565796,1.605930718310739,0
"LGBMClassifier(n_jobs=10, random_state=7742)",knn5,77.72241699695587,16.35353033542633,0.5424599581740088,0.4961832061068702,0.6102941176470589,0.03245119453780399,0.8079803124986695,0.8018335684062058,0.8143754361479415,0.004016540433223258,0.6910683998147895,0.6695403614388884,0.7206102361078532,0.014274137617324252,0.8395142145624066,0.8355215148118784,0.8443762963939327,0.002829099563479866,0.9476925843981778,0.9255018712874687,0.9636384180144514,0.009766841026720732,0.9976777735767784,0.9972740602221467,0.9983422686728003,0.0002953791727912732,0.9688715660090447,0.9662144868185308,0.9728692091118505,0.0018717163141471608,0.9844500193222796,0.9840150179191081,0.9848683087775186,0.00027460632869398077,0.38364291343014745,0.3404255319148936,0.44148936170212766,0.028127635883415193,0.6791240548100345,0.6711924439197167,0.6889020070838253,0.005658952746402254,0.9279579608698768,0.8658536585365854,0.9880952380952381,0.0379520691971442,0.9972269604857704,0.9956217162872154,0.999140154772141,0.001076907567663722,72.44142270088196,85.24875783920288,4.145994481759191,13.399253606796265,19.07363986968994,1.7368252597626053,0
"LGBMClassifier(n_jobs=10, random_state=7742)",drop,0.4260823726654053,0.01771683692932129,0.524709051039565,0.3999999999999999,0.6333333333333333,0.07263263660473118,0.9998577524893314,0.9985775248933144,1.0,0.000426742532005675,0.6850792221091397,0.6279210372960373,0.7430212387574525,0.03509187173493086,0.9998579545454545,0.9985795454545454,1.0,0.00042613636363637576,0.9636037913905311,0.9444906050932202,0.9828573927493768,0.010642998187112214,0.9999999910279526,0.9999999102795258,1.0,2.6916142248367696e-08,0.985597640760749,0.9833240689271817,0.9877641824249166,0.001560837009116178,0.999993821057835,0.999938210578349,1.0,1.853682649530786e-05,0.3708974358974359,0.2564102564102564,0.48717948717948717,0.07020222971672063,0.999715909090909,0.9971590909090909,1.0,0.0008522727272727182,0.9178232513100933,0.8125,1.0,0.04788245754127354,1.0,1.0,1.0,0.0,0.2610287666320801,0.539250373840332,0.12285363423073485,0.009061336517333984,0.02628302574157715,0.0072330830426207485,21081
"RandomForestClassifier(n_jobs=10, random_state=7742)",mean,6.185696911811829,0.711288595199585,0.5120762475580494,0.4126984126984127,0.5928571428571429,0.05087932828279995,0.9997046837018362,0.9994093325457768,1.0,0.00018678546091115808,0.6813483171666357,0.6360868476253092,0.7195343527176588,0.023988570347560374,0.999704805745723,0.999409681227863,1.0,0.00018667519957643375,0.9322276485480302,0.9218100843510009,0.9469129479358611,0.009526640197863872,1.0,1.0,1.0,0.0,0.9666446428358466,0.9621192730995649,0.9708141321044547,0.002495700655053273,0.9999715567286778,0.9999431139427726,1.0,1.798895079835447e-05,0.3656281661600811,0.2751322751322751,0.44148936170212766,0.04792000743288728,0.9994096114914457,0.9988193624557261,1.0,0.0003733503991528324,0.8621765779885309,0.8125,0.9135802469135802,0.03428624971941937,1.0,1.0,1.0,0.0,3.6868300437927246,7.236704587936401,1.2651081561617536,0.10978031158447266,1.771366834640503,0.6371674953863256,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=7742,
              reg_alpha=None, reg_lambda=None, ...)",drop,4.786040592193603,0.014268064498901367,0.5041028249964328,0.392156862745098,0.6071428571428571,0.060007870436633325,1.0,1.0,1.0,0.0,0.6772163791178502,0.6276369463869464,0.717948717948718,0.027736131669281242,1.0,1.0,1.0,0.0,0.9640183253358352,0.9415314645559103,0.9790090523461757,0.01179356773502074,1.0,1.0,1.0,0.0,0.9849303561921993,0.9827682045580878,0.9877641824249166,0.0012772766179717516,1.0,1.0,1.0,0.0,0.3555128205128205,0.2564102564102564,0.4358974358974359,0.05555307358032414,1.0,1.0,1.0,0.0,0.8819669365721996,0.8,1.0,0.059386825611358406,1.0,1.0,1.0,0.0,4.073088884353638,5.223664283752441,0.5039072714292411,0.0,0.017671823501586914,0.004794970110002057,21081
"RandomForestClassifier(n_jobs=10, random_state=7742)",median,4.989774107933044,0.25976080894470216,0.42776275093791877,0.3591836734693877,0.48854961832061067,0.03311206732875471,0.9996160225050973,0.9991137370753324,1.0,0.0002658827831178683,0.6425763805069667,0.6147883455575763,0.6688679569203301,0.013780530166032291,0.999616240495798,0.9991145218417945,1.0,0.0002656647784109446,0.9241909350934879,0.9077558883936999,0.9401724502992914,0.009824774587120012,1.0,1.0,1.0,0.0,0.9629582952126443,0.9598157153826465,0.9656938044034818,0.0016174991142740933,0.9999630236582877,0.999914670914159,1.0,2.5598770704079872e-05,0.2880305077113588,0.2328042328042328,0.3404255319148936,0.02744278469946869,0.9992324809915962,0.9982290436835891,1.0,0.0005313295568218424,0.8350409698433803,0.7857142857142857,0.9032258064516129,0.0378567875101234,1.0,1.0,1.0,0.0,3.5715060234069824,5.4805824756622314,0.5652625003091227,0.07852029800415039,1.1783795356750488,0.33364347764243896,0
