model,impute_strategy,test_f1_mean,test_f1_min,test_f1_max,test_f1_std,train_f1_mean,train_f1_min,train_f1_max,train_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_min,train_balanced_accuracy_max,train_balanced_accuracy_std,test_roc_auc_mean,test_roc_auc_min,test_roc_auc_max,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_min,train_roc_auc_max,train_roc_auc_std,test_accuracy_mean,test_accuracy_min,test_accuracy_max,test_accuracy_std,train_accuracy_mean,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_recall_mean,test_recall_min,test_recall_max,test_recall_std,train_recall_mean,train_recall_min,train_recall_max,train_recall_std,test_precision_mean,test_precision_min,test_precision_max,test_precision_std,train_precision_mean,train_precision_min,train_precision_max,train_precision_std,num_rows_dropped
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=42,
              reg_alpha=None, reg_lambda=None, ...)",knn5,0.5674919598857573,0.5227272727272727,0.6666666666666666,0.041168802056340374,0.9784574570132397,0.9739709443099274,0.9841079460269865,0.0038516476265997523,0.707747053390213,0.6825692719718907,0.759562450642647,0.020887142718475415,0.9789792749537141,0.9748965107545835,0.9843565525383707,0.0037021678391282492,0.9470606497805896,0.9323228046889749,0.9589575727055268,0.006865076567093185,0.9999734910127362,0.9999576630094092,0.9999942404052384,1.2188521582084776e-05,0.9694092266286921,0.9674859190988223,0.974910394265233,0.0023768997099085022,0.9979691446187566,0.9975538995392229,0.9984925194834746,0.0003562119805928375,0.41818360914105596,0.3670212765957447,0.5212765957446809,0.04163905792803689,0.9579645264792663,0.9498229043683589,0.9687131050767415,0.007405139873009209,0.8880732505980251,0.8080808080808081,0.9545454545454546,0.041608132599716297,0.9998769497465944,0.9993788819875776,1.0,0.0002461144920417927,0
"LGBMClassifier(n_jobs=10, random_state=42)",knn5,0.5402859430667722,0.490272373540856,0.6192170818505337,0.03653840789030952,0.8107833580756058,0.8008489564909799,0.8236924142708694,0.006052874187074568,0.6898136506976403,0.6667463060670917,0.7305760933011343,0.018511061400770183,0.8416027067813273,0.834105483153414,0.8508847425310113,0.004442040162566381,0.9468304102853147,0.9316937154498529,0.9587630045895185,0.006746889542322528,0.9977801989036269,0.9973738461987356,0.9980827385484633,0.0002450737130597953,0.9688972135168787,0.9664618535586278,0.9726062467997952,0.0016557616580185237,0.9846377468708571,0.9839861194072305,0.9855220866399295,0.00040887352217733834,0.3809720815039964,0.3351063829787234,0.4627659574468085,0.037226539058708936,0.6833159805881708,0.6682408500590319,0.7018890200708382,0.008909509117541979,0.9357220266970027,0.891566265060241,0.9722222222222222,0.022679423125031375,0.9968255654017476,0.9948006932409013,1.0,0.001759276950446583,0
"LGBMClassifier(n_jobs=10, random_state=42)",drop,0.5251467960574484,0.4081632653061224,0.6440677966101694,0.0711816469301447,1.0,1.0,1.0,0.0,0.687344648848877,0.6282051282051282,0.743305491173598,0.03232436679844983,1.0,1.0,1.0,0.0,0.9597609190364308,0.9351612950248539,0.979420125071063,0.011131698979154357,1.0,0.9999999999999999,1.0,3.510833468576701e-17,0.9853751404345882,0.9822123401889938,0.9883203559510567,0.0017761179027122708,1.0,1.0,1.0,0.0,0.37576923076923074,0.2564102564102564,0.48717948717948717,0.06451775795381645,1.0,1.0,1.0,0.0,0.8933604845446951,0.6842105263157895,1.0,0.09461381396378384,1.0,1.0,1.0,0.0,21081
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=42,
              reg_alpha=None, reg_lambda=None, ...)",drop,0.5142542771808705,0.392156862745098,0.6557377049180327,0.08823259443205177,1.0,1.0,1.0,0.0,0.6845743013618937,0.6276366233728371,0.7497157475838545,0.03935486744415392,1.0,1.0,1.0,0.0,0.9580284643346042,0.91873296307634,0.9809769536887217,0.018402280781880432,1.0,1.0,1.0,0.0,0.9849857880505855,0.9816564758198999,0.9883268482490273,0.0022519832435415918,1.0,1.0,1.0,0.0,0.37051282051282053,0.2564102564102564,0.5,0.07828915200395911,1.0,1.0,1.0,0.0,0.8576567266582746,0.6875,0.9523809523809523,0.09914486130636818,1.0,1.0,1.0,0.0,21081
"RandomForestClassifier(n_jobs=10, random_state=42)",mean,0.5084226320451515,0.37751004016064255,0.5693430656934306,0.049346584398844005,0.9997637853360656,0.9994093325457768,1.0,0.00017718280130646165,0.6789952077503584,0.6231177735950524,0.706371250564954,0.02122697969004565,0.9997638724911452,0.999409681227863,1.0,0.00017709563164109988,0.9303576565456991,0.9100937932770993,0.960790763932194,0.013341847907114327,1.0,1.0,1.0,0.0,0.9665421642014523,0.9603276170975172,0.9697977988226261,0.0024754182686843778,0.9999772454153033,0.9999431139427726,1.0,1.7065871106466244e-05,0.3607874591917145,0.25,0.4148936170212766,0.04204393506513322,0.9995277449822904,0.9988193624557261,1.0,0.00035419126328217754,0.8649711819034349,0.7704918032786885,0.9342105263157895,0.04292337404545034,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",median,0.4245181969966617,0.3090128755364807,0.47058823529411764,0.043660147662999534,0.9998228346370844,0.9997045790251108,1.0,0.00014465492184471786,0.6412587794346722,0.594534678162169,0.6586333548826326,0.017650630242803125,0.9998228869342546,0.9997046662728883,1.0,0.00014461222137631806,0.9240886889425693,0.9049561549561549,0.9539226399226514,0.013516317242246435,1.0,0.9999999999999999,1.0,4.965068306494546e-17,0.9629070133024987,0.958791911952905,0.9654466342462247,0.0017529599679545974,0.9999829339401233,0.9999715561623574,1.0,1.3934379542903398e-05,0.28531464595294376,0.19148936170212766,0.3191489361702128,0.035346385472916186,0.9996457738685092,0.9994093325457767,1.0,0.00028922444275263613,0.8371208155857884,0.7714285714285715,0.8955223880597015,0.035050536347757136,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",knn100,0.2679869442306964,0.1751152073732719,0.3183673469387755,0.04639785257941611,0.9998523592953216,0.9994093325457768,1.0,0.0001980963923553871,0.5812876407046643,0.5490542221311452,0.601302747988509,0.016771353146843793,0.9998524203069659,0.999409681227863,1.0,0.00019799893543388097,0.9176988517570965,0.8995612649458803,0.9367673476626639,0.010954029958889337,1.0,0.9999999999999999,1.0,3.510833468576701e-17,0.9567377326738111,0.9541847965190683,0.9582693292370712,0.0012619199896995146,0.9999857782429846,0.9999431123247149,1.0,1.9080585752380197e-05,0.16580265676010358,0.10052910052910052,0.2074468085106383,0.034153006381333485,0.9997048406139315,0.9988193624557261,1.0,0.0003959978708677371,0.7235018987838536,0.6486486486486487,0.8125,0.046691299440787155,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",knn40,0.2282869308620726,0.15813953488372093,0.27705627705627706,0.04008487489594636,0.9997932402166885,0.9991137370753324,1.0,0.0003249218328533339,0.5672428559405309,0.5438683185253415,0.5833112756189679,0.013717047581485843,0.9997933884297521,0.9991145218417945,1.0,0.0003246753246753497,0.9143977693426981,0.9002884840926124,0.9382748451024927,0.010247764812725537,1.0,0.9999999999999999,1.0,3.510833468576701e-17,0.9554832589398341,0.9536728948041976,0.9572562068082928,0.0011549325822749266,0.9999800896372617,0.9999146684870722,1.0,3.128783896119216e-05,0.13760553866936845,0.09042553191489362,0.1702127659574468,0.027899407973402193,0.999586776859504,0.9982290436835891,1.0,0.0006493506493506501,0.693150735095837,0.6216216216216216,0.7837837837837838,0.05851839101052737,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",knn20,0.21236486778024327,0.15668202764976957,0.28205128205128205,0.04098359645307074,0.9997637853309136,0.9997045790251108,1.0,0.00011810734581545003,0.5618727398555428,0.5435994290389203,0.5856878164570473,0.013690345680153617,0.9997638550570409,0.9997046662728883,1.0,0.00011807248274189854,0.9069028552453947,0.8862354327690467,0.9273311860314772,0.013587669572549513,1.0,0.9999999999999999,1.0,3.510833468576701e-17,0.9548688458267625,0.9531609930893269,0.9577681085231635,0.0014096540698022744,0.9999772453344005,0.9999715561623574,1.0,1.1377332805204588e-05,0.12697286952606102,0.09042553191489362,0.1746031746031746,0.027340638585657547,0.9995277101140818,0.9994093325457767,1.0,0.00023614496548379709,0.6608926332799671,0.5862068965517241,0.7804878048780488,0.05954664421775362,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",knn5,0.16072197826255802,0.0970873786407767,0.21929824561403508,0.034021419020376066,0.999822852081488,0.9997047534691467,1.0,0.000144640669783511,0.5452282679944058,0.5255198974511577,0.5644721481464525,0.010745339866249213,0.9998229043683589,0.9997048406139315,1.0,0.00014459797773219406,0.8945263535504371,0.8808698424083039,0.9153277019102596,0.011687065089495149,1.0,1.0,1.0,0.0,0.9529489522855441,0.9516252879447146,0.9546966982339391,0.001099159627330405,0.999982934021026,0.9999715561623574,1.0,1.3934313485583487e-05,0.09403354722503658,0.05319148936170213,0.13297872340425532,0.021727698989825617,0.9996458087367179,0.999409681227863,1.0,0.0002891959554643881,0.5706935910564943,0.48148148148148145,0.6875,0.07137834369752655,1.0,1.0,1.0,0.0,0
"RandomForestClassifier(n_jobs=10, random_state=42)",drop,0.07092183587482945,0.0,0.1702127659574468,0.0655267029440621,0.9994306046937627,0.9971509971509972,1.0,0.0009445410496243462,0.5193118536404849,0.4980102330869812,0.5501450416174691,0.01946143324334588,0.9994318181818181,0.9971590909090908,1.0,0.0009422229518055382,0.9073360496335198,0.8791489919972012,0.9402359295054008,0.017977418961639912,1.0,1.0,1.0,0.0,0.976922694043966,0.9744160177975528,0.9794215795328143,0.0016906413583269362,0.9999752853766486,0.9998764287920915,1.0,4.0984278490572426e-05,0.0408974358974359,0.0,0.10256410256410256,0.038343622665047615,0.9988636363636363,0.9943181818181818,1.0,0.0018844459036110293,0.2991666666666667,0.0,0.75,0.2815248656868519,1.0,1.0,1.0,0.0,21081
DummyClassifier(strategy='most_frequent'),knn100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),knn40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),knn20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),knn5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9518226571158858,0.9516252879447146,0.95188123880215,9.879985730427317e-05,0.9518226500979686,0.9518161390334784,0.951844582871121,1.0979224608019032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DummyClassifier(strategy='most_frequent'),drop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.9782572631810652,0.9777654252362423,0.9783212896053363,0.00016401493425549762,0.978257243201484,0.9782501235788433,0.9783119130004944,1.8230972277752436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21081
